year,month,fare_group,count,pct
2025,7,Discount,50976,0.42169352437047086
2025,7,Freeride,12230,0.10117137090102908
2025,7,Regular,34043,0.2816170874557427
2025,7,School or University or Employer Sponsored,23569,0.1949720393104133
2025,8,Discount,48346,0.33197374203471763
2025,8,Freeride,11173,0.07672077565370249
2025,8,Regular,33454,0.22971599648428917
2025,8,School or University or Employer Sponsored,52584,0.3610744891232696
2025,9,Discount,44172,0.23794697206390933
2025,9,Freeride,9590,0.0516596817461942
2025,9,Regular,31342,0.16883396718344304
2025,9,School or University or Employer Sponsored,100472,0.541225395662526
2025,10,Discount,41684,0.2234180539625028
2025,10,Freeride,8803,0.04718235123865062
2025,10,Regular,26934,0.14436095061476947
2025,10,School or University or Employer Sponsored,109082,0.5846580981272846
2025,11,Discount,38408,0.2586850222934655
2025,11,Freeride,4963,0.03342672791195765
2025,11,Regular,25016,0.1684874119374436
2025,11,School or University or Employer Sponsored,80040,0.5390842841170844
2025,12,Discount,37958,0.3055289487028824
2025,12,Freeride,4946,0.039811006382961596
2025,12,Regular,28255,0.22742822186627173
2025,12,School or University or Employer Sponsored,53006,0.4266522855510033
2026,1,Discount,35599,0.25899599854492544
2026,1,Freeride,4754,0.034587122590032736
2026,1,Regular,29429,0.21410694798108404
2026,1,School or University or Employer Sponsored,67635,0.49206984357948347
